City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Cayenne,GF,2022-01-24 04:06:59,4.9333,-52.3333,77.09,88,75,5.01
281,Samaipata,BO,2022-01-24 04:07:00,-18.15,-63.8667,55.51,94,85,2.84
282,Chadan,RU,2022-01-24 04:07:00,51.2833,91.5833,-10.32,99,100,1.19
283,Severo-Yeniseyskiy,RU,2022-01-24 04:07:01,60.3725,93.0408,3.4,95,100,2.55
284,Sangolqui,EC,2022-01-24 04:07:01,-0.3341,-78.4522,58.35,93,95,1.07
285,Norman Wells,CA,2022-01-24 04:07:02,65.282,-126.8329,11.07,96,100,4.72
286,Sol-Iletsk,RU,2022-01-24 04:07:02,51.1631,54.9918,-2.11,89,73,7.02
287,Enzan,JP,2022-01-24 04:07:03,35.7,138.7333,49.91,55,100,3.09
288,Kibala,TD,2022-01-24 04:07:03,9.1104,18.3463,69.48,22,6,5.26
289,Bardiyah,LY,2022-01-24 04:07:04,31.7561,25.0865,47.61,62,84,12.55
290,Hellvik,NO,2022-01-24 04:07:04,59.9156,5.781,46.27,91,100,11.01
291,Coria,ES,2022-01-24 04:07:05,39.9879,-6.5377,38.44,86,0,4.05
292,La Romana,DO,2022-01-24 04:07:05,18.4273,-68.9728,74.93,85,0,4.88
