City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
480,Necochea,AR,60.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
482,Trairi,BR,74.73,overcast clouds,-3.2778,-39.2689,janelas do mar
483,Chodavaram,IN,69.64,clear sky,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
484,Wajid,SO,74.25,overcast clouds,3.8093,43.2471,xamdihotelresturant114
485,Gushikawa,JP,67.23,clear sky,26.3544,127.8686,Kirari Guest House
486,Payo,ID,75.42,scattered clouds,-3.7508,103.6372,Mess keban agung
488,Dubbo,AU,77.13,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
489,Nouakchott,MR,66.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN
490,Gaozhou,CN,68.85,clear sky,21.9392,110.8461,望江楼旅业
491,Meulaboh,ID,77.38,broken clouds,4.1363,96.1285,Kost Pria
493,Lamu,KE,77.22,scattered clouds,-2.2717,40.902,Lamu House
496,Hobyo,SO,75.96,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
503,Fortuna,US,58.08,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
507,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
513,Marang,MY,73.31,overcast clouds,5.2056,103.2059,DBarakah Homestay
515,Cayambe,EC,51.06,moderate rain,0.05,-78.1333,Hosteria Jatun huasi
517,Nago,JP,68.07,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
524,Antalaha,MG,73.11,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
528,Tandalti,SD,60.17,clear sky,13.0167,31.8667,منزل : الهادي محمد مساعد
534,Kaoma,ZM,63.68,overcast clouds,-14.7833,24.8,KAOMA AIRPORT
539,Hwange,ZW,66.79,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
543,Nouadhibou,MR,62.58,overcast clouds,20.931,-17.0347,El Medina
546,Kankan,GN,74.48,scattered clouds,10.3854,-9.3057,Hotel Bate
551,Imbituba,BR,73.81,light rain,-28.24,-48.6703,Praia Hotel Imbituba
552,Saint-Pierre,RE,73.08,broken clouds,-21.3393,55.4781,Lindsey Hôtel
553,Adeje,ES,58.3,broken clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
554,Cayenne,GF,71.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
560,Ibra,OM,61.39,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
561,Ibotirama,BR,69.15,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
564,Koudougou,BF,72.12,clear sky,12.25,-2.3667,VAREK OCADES
566,Mokhotlong,LS,55.89,overcast clouds,-29.2894,29.0675,Tsabi's Guest House
568,Tchamba,TG,79.03,clear sky,9.0333,1.4167,ROYAL HOTEL TCHAMBA
571,Saint-Joseph,RE,71.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
573,Langsa,ID,75.51,broken clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
577,Camocim,BR,75.33,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
579,Oussouye,SN,73.58,clear sky,12.485,-16.5469,Auberge du Routard
